filename,unsplash_url,google_image_search_url
aurora-hero.jpg,https://unsplash.com/s/photos/aurora-borealis-iceland,https://www.google.com/search?tbm=isch&q=aurora+borealis+iceland+night+sky
collage-diamond-beach.jpg,https://unsplash.com/s/photos/diamond-beach-iceland,https://www.google.com/search?tbm=isch&q=diamond+beach+iceland+icebergs+black+sand
collage-jokulsarlon.jpg,https://unsplash.com/s/photos/jokulsarlon,https://www.google.com/search?tbm=isch&q=jokulsarlon+glacier+lagoon+iceland+icebergs
d0-hero-reykjavik.jpg,https://unsplash.com/s/photos/reykjavik,https://www.google.com/search?tbm=isch&q=reykjavik+colourful+houses+iceland+cityscape
d0-strip-hallgrimskirkja.jpg,https://unsplash.com/s/photos/hallgrimskirkja,https://www.google.com/search?tbm=isch&q=hallgrimskirkja+church+reykjavik+iceland
d0-strip-harpa.jpg,https://unsplash.com/s/photos/harpa-reykjavik,https://www.google.com/search?tbm=isch&q=harpa+concert+hall+reykjavik+glass+architecture
d0-strip-reykjavik.jpg,https://unsplash.com/s/photos/reykjavik-street,https://www.google.com/search?tbm=isch&q=reykjavik+old+harbour+street+colourful+buildings
d1-hero-gullfoss.jpg,https://unsplash.com/s/photos/gullfoss,https://www.google.com/search?tbm=isch&q=gullfoss+waterfall+iceland+golden+circle+wide+shot
d1-strip-geysir.jpg,https://unsplash.com/s/photos/strokkur-geyser,https://www.google.com/search?tbm=isch&q=strokkur+geyser+iceland+eruption+water+spout
d1-strip-gullfoss.jpg,https://unsplash.com/s/photos/gullfoss-waterfall,https://www.google.com/search?tbm=isch&q=gullfoss+waterfall+iceland+mist+close+up
d2-hero-jokulsarlon.jpg,https://unsplash.com/s/photos/jokulsarlon-boat,https://www.google.com/search?tbm=isch&q=jokulsarlon+glacier+lagoon+boat+icebergs+iceland
d2-strip-jokulsarlon.jpg,https://unsplash.com/s/photos/jokulsarlon-sunset,https://www.google.com/search?tbm=isch&q=jokulsarlon+glacier+lagoon+iceland+sunset+reflection
d2-strip-reynisfjara.jpg,https://unsplash.com/s/photos/reynisfjara,https://www.google.com/search?tbm=isch&q=reynisfjara+black+sand+beach+iceland+basalt+columns
d2-strip-skogafoss.jpg,https://unsplash.com/s/photos/skogafoss,https://www.google.com/search?tbm=isch&q=skogafoss+waterfall+iceland+mist
d3-hero-eastfjords.jpg,https://unsplash.com/s/photos/iceland-east-fjords,https://www.google.com/search?tbm=isch&q=east+fjords+iceland+scenic+coastal+road
d3-strip-eastfjords.jpg,https://unsplash.com/s/photos/iceland-fjord-road,https://www.google.com/search?tbm=isch&q=east+fjords+iceland+winding+mountain+road
d3-strip-seydisfjordur.jpg,https://unsplash.com/s/photos/seydisfjordur,https://www.google.com/search?tbm=isch&q=seydisfjordur+iceland+rainbow+painted+street+colourful+houses
d3-strip-vok.jpg,https://unsplash.com/s/photos/vok-baths-iceland,https://www.google.com/search?tbm=isch&q=vok+baths+iceland+infinity+pool+lake+reflection
d4-hero-myvatn.jpg,https://unsplash.com/s/photos/lake-myvatn-iceland,https://www.google.com/search?tbm=isch&q=myvatn+iceland+geothermal+lake+volcanic+landscape
d4-strip-hverir.jpg,https://unsplash.com/s/photos/hverir-iceland,https://www.google.com/search?tbm=isch&q=hverir+iceland+boiling+mud+pots+sulphur+steam+vents
d4-strip-myvatn-baths.jpg,https://unsplash.com/s/photos/myvatn-nature-baths,https://www.google.com/search?tbm=isch&q=myvatn+nature+baths+iceland+turquoise+geothermal+pool
d4-strip-studlagil.jpg,https://unsplash.com/s/photos/studlagil-canyon,https://www.google.com/search?tbm=isch&q=studlagil+canyon+iceland+hexagonal+basalt+columns+river
d5-hero-husavik.jpg,https://unsplash.com/s/photos/husavik-iceland,https://www.google.com/search?tbm=isch&q=husavik+iceland+harbour+colourful+wooden+church+town
d5-strip-geosea.jpg,https://unsplash.com/s/photos/geosea-husavik,https://www.google.com/search?tbm=isch&q=geosea+husavik+iceland+sea+baths+infinity+pool+ocean
d5-strip-godafoss.jpg,https://unsplash.com/s/photos/godafoss,https://www.google.com/search?tbm=isch&q=godafoss+waterfall+of+the+gods+iceland
d6-strip-arnarstapi.jpg,https://unsplash.com/s/photos/arnarstapi-iceland,https://www.google.com/search?tbm=isch&q=arnarstapi+iceland+cliff+arch+sea+birds+coastline
d6-strip-snaefellsnes.jpg,https://unsplash.com/s/photos/snaefellsjokull,https://www.google.com/search?tbm=isch&q=snaefellsjokull+glacier+volcano+iceland+peninsula
d7-hero-hraunfossar.jpg,https://unsplash.com/s/photos/hraunfossar,https://www.google.com/search?tbm=isch&q=hraunfossar+waterfall+iceland+lava+field+springs+river
d7-strip-reykjavik.jpg,https://unsplash.com/s/photos/reykjavik-aerial,https://www.google.com/search?tbm=isch&q=reykjavik+iceland+aerial+city+view
d7-strip-river.jpg,https://unsplash.com/s/photos/hraunfossar-waterfall,https://www.google.com/search?tbm=isch&q=hraunfossar+waterfall+barnafoss+iceland+river
kirkjufell.jpg,https://unsplash.com/s/photos/kirkjufell,https://www.google.com/search?tbm=isch&q=kirkjufell+mountain+iceland+iconic
